,StudentID,CGPA,TenthPercentage,TwelfthPercentage,Backlogs,Projects,AptitudeScore,CommunicationScore
StudentID,1.0,-0.03746459500603331,-0.14254543589213695,-0.046265680116801086,-0.11671530818083618,0.01532668299572344,-0.05558193572087086,-0.09340492970602156
CGPA,-0.03746459500603331,1.0,0.9766886412007998,0.988501233603964,-0.8805173370811895,0.9681966691881718,0.9870204764172748,0.9914737308134446
TenthPercentage,-0.14254543589213695,0.9766886412007998,1.0,0.9835263486092175,-0.839691010810199,0.9775465323817767,0.9832983474420524,0.9898899311472928
TwelfthPercentage,-0.046265680116801086,0.988501233603964,0.9835263486092175,1.0,-0.9064810664957766,0.9777247685200984,0.9878405712783819,0.9937063312251674
Backlogs,-0.11671530818083618,-0.8805173370811895,-0.839691010810199,-0.9064810664957766,1.0,-0.8517522111347229,-0.880463007711899,-0.8788396233815077
Projects,0.01532668299572344,0.9681966691881718,0.9775465323817767,0.9777247685200984,-0.8517522111347229,1.0,0.9809699635797368,0.9794923370735127
AptitudeScore,-0.05558193572087086,0.9870204764172748,0.9832983474420524,0.9878405712783819,-0.880463007711899,0.9809699635797368,1.0,0.9960819122541318
CommunicationScore,-0.09340492970602156,0.9914737308134446,0.9898899311472928,0.9937063312251674,-0.8788396233815077,0.9794923370735127,0.9960819122541318,1.0
